Isolate	Distance to 510	Distance to 519	Distance to 524	Distance to 522	Distance to 523	Distance to 506	Distance to 507	Distance to 515	Distance to 520	Distance to 502	Distance to 513	Distance to 512	Distance to 521	Distance to 518	Distance to 514	Distance to 517	Distance to 516	Distance to 505	Distance to 511	Distance to 504	Distance to 503	Distance to 508	Distance to 509
513	0.000376649	0.000370805	0.0000962353	0.0000733136	0.0000622766	0.0000517371	0.0000470382	0.0000400745	0.0000361898	0.0000318212	0	0.000021473	0.0000255141	0.000020665	0.000019857	0.000021473	0.0000193723	0.0000208266	0.0000219579	0.000474274	0.000345465	0.00032251	0.000325834
512	0.000375814	0.000371306	0.0000931437	0.0000767244	0.0000647103	0.00005352	0.0000488203	0.0000389414	0.0000318212	0.0000281012	0.000021473	0	0.0000272927	0.0000221195	0.0000174335	0.0000184028	0.0000179181	0.000018726	0.0000201802	0.000472421	0.000343966	0.000320516	0.000323673
521	0.000374478	0.000367968	0.000092981	0.0000681183	0.0000538442	0.0000462282	0.0000467142	0.000038132	0.0000287481	0.0000324683	0.0000255141	0.0000272927	0	0.0000213114	0.0000182413	0.0000201802	0.0000158181	0.0000172719	0.000018726	0.000474611	0.000337475	0.000321679	0.000323673
518	0.000370138	0.000362964	0.0000890772	0.0000661707	0.0000583839	0.0000472002	0.0000399127	0.0000368372	0.0000287481	0.0000298802	0.000020665	0.0000221195	0.0000213114	0	0.0000163027	0.0000133954	0.0000138799	0.0000163027	0.000018726	0.000469894	0.000336643	0.000317194	0.000319353
514	0.000368302	0.000364131	0.0000911916	0.0000682806	0.0000540063	0.0000457423	0.0000413698	0.0000350571	0.0000259991	0.0000255141	0.000019857	0.0000174335	0.0000182413	0.0000163027	0	0.0000138799	0.0000114577	0.0000109733	0.0000121036	0.000467537	0.000338307	0.000316529	0.000315367
517	0.000368803	0.000360295	0.0000863128	0.000066333	0.0000572488	0.0000467142	0.0000413698	0.0000366753	0.0000259991	0.0000245441	0.000021473	0.0000184028	0.0000201802	0.0000133954	0.0000138799	0	0.0000108119	0.000015172	0.0000140414	0.000467873	0.000337641	0.000316861	0.000318855
516	0.000364298	0.000359795	0.0000868006	0.0000668199	0.00005352	0.0000407221	0.0000389414	0.0000339244	0.0000216346	0.0000211498	0.0000193723	0.0000179181	0.0000158181	0.0000138799	0.0000114577	0.0000108119	0	0.00000984321	0.0000116192	0.000463328	0.000337641	0.000310718	0.00031354
505	0.0003668	0.000364298	0.000086638	0.0000666576	0.0000540063	0.0000467142	0.0000400745	0.0000344098	0.0000256758	0.000020665	0.0000208266	0.000018726	0.0000172719	0.0000163027	0.0000109733	0.000015172	0.00000984321	0	0.00000726051	0.000468042	0.000336976	0.000311548	0.000309722
511	0.000367134	0.000363631	0.0000861502	0.0000689299	0.0000554653	0.0000449324	0.0000421793	0.0000358662	0.0000290715	0.0000221195	0.0000219579	0.0000201802	0.000018726	0.000018726	0.0000121036	0.0000140414	0.0000116192	0.00000726051	0	0.000468884	0.000338474	0.000314869	0.000310884
504	0.000822432	0.000817216	0.000543066	0.000520031	0.000504307	0.00049485	0.000496369	0.000486412	0.000477982	0.000467537	0.000474274	0.000472421	0.000474611	0.000469894	0.000467537	0.000467873	0.000463328	0.000468042	0.000468884	0	0.000208947	0.000174961	0.000181356
503	0.000697932	0.000691915	0.000411941	0.000385169	0.000371306	0.000366967	0.000366967	0.000356294	0.000349129	0.000343301	0.000345465	0.000343966	0.000337475	0.000336643	0.000338307	0.000337641	0.000337641	0.000336976	0.000338474	0.000208947	0	0.0000559517	0.0000410459
508	0.000671312	0.000668396	0.00038684	0.000363964	0.000349962	0.0003438	0.000344133	0.000333649	0.00032467	0.00031188	0.00032251	0.000320516	0.000321679	0.000317194	0.000316529	0.000316861	0.000310718	0.000311548	0.000314869	0.000174961	0.0000559517	0	0.0000274544
509	0.000671826	0.00067114	0.000390518	0.000367468	0.000352628	0.000345798	0.000344299	0.000337309	0.000330489	0.000316695	0.000325834	0.000323673	0.000323673	0.000319353	0.000315367	0.000318855	0.00031354	0.000309722	0.000310884	0.000181356	0.0000410459	0.0000274544	0
