	index	accs	source	description	seqlen	organism	division	date	biocategory	species	freq
486541	486541	FJ182020.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1637/2007, complete genome.	10675	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486539	486539	FJ182018.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1632/2006, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
491189	491189	FJ205871.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1733/1999, complete genome.	10651	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486538	486538	FJ182017.1	NEIGHBOR	Dengue virus 4 isolate DENV-4/VE/BID-V1160/2007, complete genome.	10606	Dengue virus 4	VRL	02-JUN-2009	EX	Dengue virus	3970
486537	486537	FJ182016.1	NEIGHBOR	Dengue virus 4 isolate DENV-4/VE/BID-V1158/2007, complete genome.	10606	Dengue virus 4	VRL	02-JUN-2009	EX	Dengue virus	3970
486536	486536	FJ182015.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/VE/BID-V1114/2001, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486535	486535	FJ182014.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V1303/2007, complete genome.	10680	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
486534	486534	FJ182013.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1450/1998, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486533	486533	FJ182012.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/CO/BID-V1597/2005, complete genome.	10637	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
486532	486532	FJ182011.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1621/2005, complete genome.	10650	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486548	486548	FJ182027.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1651/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486549	486549	FJ182028.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1653/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486550	486550	FJ182029.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1658/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486551	486551	FJ182030.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1662/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
491188	491188	FJ205870.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1731/2003, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
829811	829811	HM756280.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4820/2009, complete genome.	10540	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
829812	829812	HM756281.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4752/2009, complete genome.	10540	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
829813	829813	HM756282.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/NI/BID-V4759/2009, complete genome.	10539	Dengue virus 3	VRL	20-JUL-2010	EX	Dengue virus	3970
486562	486562	FJ182041.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1626/2005, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486561	486561	FJ182040.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1625/2005, complete genome.	10652	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486560	486560	FJ182039.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1624/2005, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486559	486559	FJ182038.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1623/2005, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486558	486558	FJ182037.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1622/2005, complete genome.	10648	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
486557	486557	FJ182036.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1670/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486556	486556	FJ182035.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1668/2007, complete genome.	10691	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486555	486555	FJ182034.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1667/2007, complete genome.	10676	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486554	486554	FJ182033.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1666/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486553	486553	FJ182032.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1664/2007, complete genome.	10691	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
486552	486552	FJ182031.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1663/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
825918	825918	HM631852.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/KH/BID-V3773/2006, complete genome.	10674	Dengue virus 1	VRL	20-JUL-2010	EX	Dengue virus	3970
825917	825917	HM631851.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V4053/2008, complete genome.	10385	Dengue virus 1	VRL	20-JUL-2010	EX	Dengue virus	3970
825916	825916	HM631850.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V3906/2008, complete genome.	10480	Dengue virus 1	VRL	20-JUL-2010	EX	Dengue virus	3970
500009	500009	FJ390385.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/VN/BID-V1684/2007, complete genome.	10678	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
507623	507623	FJ410173.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V2093/1998, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500015	500015	FJ390391.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V1300/2007, complete genome.	10680	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
500014	500014	FJ390390.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/NI/BID-V1298/2007, complete genome.	10679	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
500013	500013	FJ390389.1	NEIGHBOR	Dengue virus 2 New Guinea C derivative strain, complete genome.	10632	Dengue virus 2	VRL	27-NOV-2012	EX	Dengue virus	3970
500012	500012	FJ390388.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1702/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500011	500011	FJ390387.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/VN/BID-V1696/2007, complete genome.	10668	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
500010	500010	FJ390386.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1686/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500008	500008	FJ390384.1	NEIGHBOR	Dengue virus 2 isolate DENV-2/VN/BID-V1679/2007, complete genome.	10678	Dengue virus 2	VRL	02-JUN-2009	EX	Dengue virus	3970
499999	499999	FJ390375.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1735/1999, complete genome.	10650	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
500007	500007	FJ390383.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1659/2007, complete genome.	10713	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500006	500006	FJ390382.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1656/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500005	500005	FJ390381.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/VN/BID-V1652/2007, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500004	500004	FJ390380.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V1742/1998, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500003	500003	FJ390379.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V1741/1998, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500002	500002	FJ390378.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V1738/1998, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
500001	500001	FJ390377.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V1737/1999, complete genome.	10650	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
507624	507624	FJ410174.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V2094/1995, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
507625	507625	FJ410175.1	NEIGHBOR	Dengue virus 1 isolate DENV-1/US/BID-V2095/1994, complete genome.	10690	Dengue virus 1	VRL	02-JUN-2009	EX	Dengue virus	3970
507626	507626	FJ410176.1	NEIGHBOR	Dengue virus 3 isolate DENV-3/US/BID-V2104/2000, complete genome.	10645	Dengue virus 3	VRL	02-JUN-2009	EX	Dengue virus	3970
1970240	1970240	KX547553.1	NEIGHBOR	West Nile virus strain WNV-1/Cyanocitta cristata /USA/06VER01768/2006, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970218	1970218	KX547531.1	NEIGHBOR	West Nile virus strain WNV-1/Culex/USA/34030043/2003, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970217	1970217	KX547530.1	NEIGHBOR	West Nile virus strain WNV-1/Passer domesticus/USA/05002480/2005, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
820669	820669	HM488179.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4338/2002, complete genome.	10452	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
1970238	1970238	KX547551.1	NEIGHBOR	West Nile virus strain WNV-1/Culiseta sp./USA/13330664/2013, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970239	1970239	KX547552.1	NEIGHBOR	West Nile virus strain WNV-1/Cyanocitta cristata /USA/10VER00219/2010, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970219	1970219	KX547532.1	NEIGHBOR	West Nile virus strain WNV-1/Cyanocitta cristata /USA/05001754/2005, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970241	1970241	KX547554.1	NEIGHBOR	West Nile virus strain WNV-1/Turdus migratorius/USA/02003847/2002, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970220	1970220	KX547533.1	NEIGHBOR	West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/04000630/2004, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
820668	820668	HM488178.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4337/2002, complete genome.	10614	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
882796	882796	HQ671668.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4728/spleen, complete genome.	10623	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
882797	882797	HQ671669.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4730/spleen, complete genome.	10957	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
882798	882798	HQ671670.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4731/spleen, complete genome.	10708	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
882799	882799	HQ671671.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4920/spleen, complete genome.	10619	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
820670	820670	HM488180.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4339/2002, complete genome.	10541	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
1970237	1970237	KX547550.1	NEIGHBOR	West Nile virus strain WNV-1/Culiseta sp./USA/36030394/2003, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
820671	820671	HM488181.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4340/2002, complete genome.	10433	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
1970230	1970230	KX547543.1	NEIGHBOR	West Nile virus strain WNV-1/Culex/USA/07590350/2007, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970222	1970222	KX547535.1	NEIGHBOR	West Nile virus strain WNV-1/Cyanocitta cristata /USA/07VER01184/2007, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970223	1970223	KX547536.1	NEIGHBOR	West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/04000686/2004, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970224	1970224	KX547537.1	NEIGHBOR	West Nile virus strain WNV-1/Culex/USA/11511617/2011, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970225	1970225	KX547538.1	NEIGHBOR	West Nile virus strain WNV-1/Culex/USA/34010014/2001, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970226	1970226	KX547539.1	NEIGHBOR	West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/07VER001227/2007, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970227	1970227	KX547540.1	NEIGHBOR	West Nile virus strain WNV-1/Culiseta sp./USA/12330516/2012, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970228	1970228	KX547541.1	NEIGHBOR	West Nile virus strain WNV-1/Culex/USA/09290476/2009, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970229	1970229	KX547542.1	NEIGHBOR	West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/04000758/2004, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970231	1970231	KX547544.1	NEIGHBOR	West Nile virus strain WNV-1/Accipiter striatus/USA/09VER00446/2009, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
820672	820672	HM488182.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4341/2002, complete genome.	10474	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
1970232	1970232	KX547545.1	NEIGHBOR	West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/07VER01310/2007, complete genome.	10781	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
820674	820674	HM488184.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4346/2002, complete genome.	10621	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
820673	820673	HM488183.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4345/2002, complete genome.	10621	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
1970233	1970233	KX547546.1	NEIGHBOR	West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/06VER01758/2006, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
882800	882800	HQ671672.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4921/spleen, complete genome.	10610	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
1970235	1970235	KX547548.1	NEIGHBOR	West Nile virus strain WNV-1/Culiseta sp./USA/14370649/2014, complete genome.	10786	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
1970236	1970236	KX547549.1	NEIGHBOR	West Nile virus strain WNV-1/Corvus brachyrhynchos/USA/0303362/2003, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
873007	873007	HQ596519.1	NEIGHBOR	West Nile virus strain New York 99 isolate 4132, complete genome.	11029	West Nile virus	VRL	17-MAY-2011	EX	West Nile virus	1524
1970234	1970234	KX547547.1	NEIGHBOR	West Nile virus strain WNV-1/Culiseta sp./USA/12330496/2012, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
882802	882802	HQ671674.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4925/spleen, complete genome.	10613	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
882801	882801	HQ671673.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4924/spleen, complete genome.	10614	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
1970215	1970215	KX547528.1	NEIGHBOR	West Nile virus strain WNV-1/Cyanocitta cristata /USA/07VER01227/2007, complete genome.	10787	West Nile virus	VRL	02-AUG-2016	EX	West Nile virus	1524
829885	829885	HM756662.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4693/2001, complete genome.	10612	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
829884	829884	HM756661.1	NEIGHBOR	West Nile virus isolate WNV-1/US/BID-V4692/2001, complete genome.	10613	West Nile virus	VRL	28-JUL-2010	EX	West Nile virus	1524
882809	882809	HQ671681.1	NEIGHBOR	West Nile virus isolate WNV-1/Mus/BID-V4985/spleen, complete genome.	10632	West Nile virus	VRL	12-MAR-2011	EX	West Nile virus	1524
