Filename	taxid	subspecies	Species	Genus	Family
GCF_002012065.1_ASM201206v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_000304415.1_RM41_genomic.fna.gz	1230587	NA	Sinorhizobium meliloti	Sinorhizobium	Rhizobiaceae
GCF_003045165.1_ASM304516v1_genomic.fna.gz	492670	NA	Bacillus velezensis	Bacillus	Bacillaceae
GCF_000498315.1_ASM49831v1_genomic.fna.gz	1407462	NA	Helicobacter pylori	Helicobacter	Helicobacteraceae
GCF_000020925.1_ASM2092v1_genomic.fna.gz	439851	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_000016825.1_ASM1682v1_genomic.fna.gz	557436	NA	Lactobacillus reuteri	Lactobacillus	Lactobacillaceae
GCF_001165785.2_ERL024919_genomic.fna.gz	90370	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_002287945.1_ASM228794v1_genomic.fna.gz	1380361	NA	Lactobacillus rhamnosus	Lactobacillus	Lactobacillaceae
GCF_001618665.1_ASM161866v1_genomic.fna.gz	1428	NA	Bacillus thuringiensis	Bacillus	Bacillaceae
GCF_000145275.1_ASM14527v1_genomic.fna.gz	573061	NA	Clostridium cellulovorans	Clostridium	Clostridiaceae
GCF_002753075.1_ASM275307v1_genomic.fna.gz	573	NA	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae
GCF_002237515.1_ASM223751v1_genomic.fna.gz	492670	NA	Bacillus velezensis	Bacillus	Bacillaceae
GCF_000093185.1_ASM9318v1_genomic.fna.gz	637913	NA	Helicobacter pylori	Helicobacter	Helicobacteraceae
GCF_002313105.1_ASM231310v1_genomic.fna.gz	28901	NA	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_002952995.1_ASM295299v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_000318525.1_ASM31852v2_genomic.fna.gz	1071753	NA	Chlamydia trachomatis	Chlamydia	Chlamydiaceae
GCF_001412295.1_ASM141229v1_genomic.fna.gz	197	NA	Campylobacter jejuni	Campylobacter	Campylobacteraceae
GCF_001718855.1_ASM171885v1_genomic.fna.gz	101571	NA	Burkholderia ubonensis	Burkholderia	Burkholderiaceae
GCF_001936035.1_ASM193603v1_genomic.fna.gz	573	NA	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae
GCF_000179035.2_ASM17903v2_genomic.fna.gz	768700	NA	Mycoplasma suis	Mycoplasma	Mycoplasmataceae
GCF_000349945.1_ASM34994v1_genomic.fna.gz	748247	NA	Azoarcus sp. KH32C	Azoarcus	Zoogloeaceae
GCF_900187345.1_42650_A02_genomic.fna.gz	520	NA	Bordetella pertussis	Bordetella	Alcaligenaceae
GCF_001315015.1_ASM131501v1_genomic.fna.gz	192	NA	Azospirillum brasilense	Azospirillum	Rhodospirillaceae
GCF_001887265.1_ASM188726v1_genomic.fna.gz	444444	NA	Chelatococcus daeguensis	Chelatococcus	Chelatococcaceae
GCF_001518735.1_ASM151873v1_genomic.fna.gz	1352	NA	Enterococcus faecium	Enterococcus	Enterococcaceae
GCF_002838725.1_ASM283872v1_genomic.fna.gz	1685	NA	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae
GCF_002763675.1_ASM276367v1_genomic.fna.gz	2049935	NA	Bacillus sp. Lzh-5	Bacillus	Bacillaceae
GCF_002173575.1_ASM217357v1_genomic.fna.gz	1254	NA	Pediococcus acidilactici	Pediococcus	Lactobacillaceae
GCF_001752865.1_ASM175286v1_genomic.fna.gz	446	NA	Legionella pneumophila	Legionella	Legionellaceae
GCF_000019065.1_ASM1906v1_genomic.fna.gz	399726	NA	Thermoanaerobacter sp. X514	Thermoanaerobacter	Thermoanaerobacteraceae
GCF_000486765.2_ASM48676v2_genomic.fna.gz	1124961	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_001874605.1_ASM187460v1_genomic.fna.gz	1525	NA	Moorella thermoacetica	Moorella	Thermoanaerobacteraceae
GCF_002109345.1_ASM210934v1_genomic.fna.gz	777	NA	Coxiella burnetii	Coxiella	Coxiellaceae
GCF_002180115.1_ASM218011v1_genomic.fna.gz	584	NA	Proteus mirabilis	Proteus	Morganellaceae
GCF_002022665.1_ASM202266v1_genomic.fna.gz	1933907	NA	Bartonella sp. JB63	Bartonella	Bartonellaceae
GCF_001465635.1_ASM146563v1_genomic.fna.gz	1280	NA	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_000013685.1_ASM1368v1_genomic.fna.gz	316057	NA	Rhodopseudomonas palustris	Rhodopseudomonas	Bradyrhizobiaceae
GCF_000020085.1_ASM2008v1_genomic.fna.gz	502801	NA	Yersinia pseudotuberculosis	Yersinia	Yersiniaceae
GCF_000183245.1_ASM18324v1_genomic.fna.gz	713602	NA	Buchnera aphidicola	Buchnera	Erwiniaceae
GCF_001697325.1_ASM169732v1_genomic.fna.gz	487	NA	Neisseria meningitidis	Neisseria	Neisseriaceae
GCF_002025145.1_ASM202514v1_genomic.fna.gz	46170	NA	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_900236575.1_Bru_genome10_genomic.fna.gz	29459	NA	Brucella melitensis	Brucella	Brucellaceae
GCF_000211855.2_ASM21185v3_genomic.fna.gz	983544	NA	Lacinutrix sp. 5H-3-7-4	Lacinutrix	Flavobacteriaceae
GCF_003031875.1_ASM303187v1_genomic.fna.gz	143221	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_000498655.1_ASM49865v1_genomic.fna.gz	627343	Zymomonas mobilis subsp. mobilis	Zymomonas mobilis	Zymomonas	Sphingomonadaceae
GCF_001554015.1_ASM155401v1_genomic.fna.gz	713030	NA	Selenomonas sp. oral taxon 136	Selenomonas	Selenomonadaceae
GCF_002220985.3_HGAP_genomic.fna.gz	670	NA	Vibrio parahaemolyticus	Vibrio	Vibrionaceae
GCF_002073755.2_ASM207375v2_genomic.fna.gz	57706	NA	Citrobacter braakii	Citrobacter	Enterobacteriaceae
GCF_000016185.1_ASM1618v1_genomic.fna.gz	414684	NA	Rhodospirillum centenum	Rhodospirillum	Rhodospirillaceae
GCF_001596075.2_ASM159607v2_genomic.fna.gz	1463165	NA	Klebsiella quasipneumoniae	Klebsiella	Enterobacteriaceae
GCF_001578205.1_ASM157820v1_genomic.fna.gz	1408	NA	Bacillus pumilus	Bacillus	Bacillaceae
GCF_002174255.1_ASM217425v1_genomic.fna.gz	1402	NA	Bacillus licheniformis	Bacillus	Bacillaceae
GCF_002220485.1_ASM222048v1_genomic.fna.gz	28025	NA	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae
GCF_001457675.1_NCTC10384_genomic.fna.gz	28150	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_001465815.1_ASM146581v1_genomic.fna.gz	135461	NA	Bacillus subtilis	Bacillus	Bacillaceae
GCF_001521715.1_ASM152171v1_genomic.fna.gz	61645	NA	Enterobacter asburiae	Enterobacter	Enterobacteriaceae
GCF_001987275.1_ASM198727v1_genomic.fna.gz	520	NA	Bordetella pertussis	Bordetella	Alcaligenaceae
GCF_001553915.1_ASM155391v1_genomic.fna.gz	1785995	NA	Gemella sp. oral taxon 928	Gemella	Alcaligenaceae
GCF_000740985.1_ASM74098v1_genomic.fna.gz	738	NA	Glaesserella parasuis	Glaesserella	Pasteurellaceae
GCF_003122365.1_ASM312236v1_genomic.fna.gz	1690221	NA	Streptomyces spongiicola	Streptomyces	Streptomycetaceae
GCF_000013305.1_ASM1330v1_genomic.fna.gz	362663	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_001618845.1_ASM161884v1_genomic.fna.gz	278148	NA	Mesorhizobium ciceri	Mesorhizobium	Phyllobacteriaceae
GCF_000020505.1_ASM2050v1_genomic.fna.gz	517417	NA	Chlorobaculum parvum	Chlorobaculum	Chlorobiaceae
GCF_000025205.1_ASM2520v1_genomic.fna.gz	553190	NA	Gardnerella vaginalis	Gardnerella	Bifidobacteriaceae
GCF_000016405.1_ASM1640v1_genomic.fna.gz	349102	NA	Rhodobacter sphaeroides	Rhodobacter	Rhodobacteraceae
GCF_002448215.1_ASM244821v1_genomic.fna.gz	1773	NA	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae
GCF_000144935.1_ASM14493v2_genomic.fna.gz	679896	NA	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae
GCF_002893845.1_ASM289384v1_genomic.fna.gz	492670	NA	Bacillus velezensis	Bacillus	Bacillaceae
GCF_000165465.1_ASM16546v1_genomic.fna.gz	572479	NA	Halanaerobium praevalens	Halanaerobium	Halanaerobiaceae
GCF_002796505.1_ASM279650v1_genomic.fna.gz	546	NA	Citrobacter freundii	Citrobacter	Enterobacteriaceae
GCF_002960215.1_ASM296021v1_genomic.fna.gz	47715	NA	Lactobacillus rhamnosus	Lactobacillus	Lactobacillaceae
GCF_002859225.1_ASM285922v1_genomic.fna.gz	518	NA	Bordetella bronchiseptica	Bordetella	Alcaligenaceae
GCF_001420915.1_ASM142091v1_genomic.fna.gz	680279	NA	Agarivorans gilvus	Agarivorans	Alteromonadaceae
GCF_002197085.1_ASM219708v1_genomic.fna.gz	382	NA	Sinorhizobium meliloti	Sinorhizobium	Rhizobiaceae
GCF_001975625.1_ASM197562v1_genomic.fna.gz	1243595	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_001955695.1_ASM195569v1_genomic.fna.gz	1842727	NA	Rhodoferax koreense	Rhodoferax	Comamonadaceae
GCF_002447435.1_ASM244743v1_genomic.fna.gz	1773	NA	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae
GCF_002847285.1_ASM284728v1_genomic.fna.gz	2059884	NA	Streptomyces sp. CMB-StM0423	Streptomyces	Streptomycetaceae
GCF_001548315.1_ASM154831v1_genomic.fna.gz	573	NA	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae
GCF_000959465.1_ASM95946v1_genomic.fna.gz	13373	NA	Burkholderia mallei	Burkholderia	Burkholderiaceae
GCF_001705545.1_ASM170554v1_genomic.fna.gz	48664	NA	Xanthomonas fragariae	Xanthomonas	Xanthomonadaceae
GCF_900243355.1_RW109_genomic.fna.gz	287	NA	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae
GCF_003025345.1_ASM302534v1_genomic.fna.gz	287	NA	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae
GCF_002288145.1_ASM228814v1_genomic.fna.gz	1884905	NA	Candidatus Planktophila versatilis	Candidatus Planktophila	Candidatus Nanopelagicaceae
GCF_001900635.1_ASM190063v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_002213605.1_ASM221360v1_genomic.fna.gz	1196185	NA	Listeria monocytogenes	Listeria	Listeriaceae
GCF_001986555.1_ASM198655v1_genomic.fna.gz	520	NA	Bordetella pertussis	Bordetella	Alcaligenaceae
GCF_000473745.2_ASM47374v3_genomic.fna.gz	1400868	NA	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae
GCF_000746625.1_ASM74662v1_genomic.fna.gz	1639	NA	Listeria monocytogenes	Listeria	Listeriaceae
GCF_000091725.1_ASM9172v1_genomic.fna.gz	754252	Propionibacterium freudenreichii subsp. shermanii	Propionibacterium freudenreichii	Propionibacterium	Propionibacteriaceae
GCF_001188835.1_ASM118883v1_genomic.fna.gz	634176	NA	Aggregatibacter aphrophilus	Aggregatibacter	Pasteurellaceae
GCF_002934285.1_ASM293428v1_genomic.fna.gz	1636606	NA	Aeromonas sp. ASNIH1	Aeromonas	Aeromonadaceae
GCF_001558795.2_ASM155879v2_genomic.fna.gz	1280	NA	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_000027065.2_ASM2706v1_genomic.fna.gz	693216	NA	Cronobacter turicensis	Cronobacter	Enterobacteriaceae
GCF_001988455.1_ASM198845v1_genomic.fna.gz	520	NA	Bordetella pertussis	Bordetella	Alcaligenaceae
GCF_002208925.2_ASM220892v2_genomic.fna.gz	253	NA	Chryseobacterium indologenes	Chryseobacterium	Flavobacteriaceae
GCF_000166115.1_ASM16611v1_genomic.fna.gz	573059	NA	Desulfovibrio vulgaris	Desulfovibrio	Desulfovibrionaceae
GCF_002393265.1_ASM239326v1_genomic.fna.gz	2060307	NA	Enterococcus sp. FDAARGOS_375	Enterococcus	Enterococcaceae
GCF_002905685.2_ASM290568v2_genomic.fna.gz	129138	NA	Pseudomonas amygdali	Pseudomonas	Pseudomonadaceae
GCF_000318645.1_ASM31864v1_genomic.fna.gz	596777	NA	Chlamydia trachomatis	Chlamydia	Chlamydiaceae
GCF_000011985.1_ASM1198v1_genomic.fna.gz	272621	NA	Lactobacillus acidophilus	Lactobacillus	Lactobacillaceae
GCF_000494385.2_ASM49438v2_genomic.fna.gz	1072590	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_002752975.1_ASM275297v1_genomic.fna.gz	573	NA	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae
GCF_001578515.1_ASM157851v1_genomic.fna.gz	28108	NA	Alteromonas macleodii	Alteromonas	Alteromonadaceae
GCF_002953095.1_ASM295309v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_900168255.1_B431_genomic.fna.gz	1028416	NA	Psychrobacter sp. DAB_AL43B	Psychrobacter	Moraxellaceae
GCF_002946715.1_ASM294671v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_001999945.1_ASM199994v1_genomic.fna.gz	260552	NA	Microbulbifer agarilyticus	Microbulbifer	Microbulbiferaceae
GCF_002021755.1_ASM202175v1_genomic.fna.gz	696485	NA	Vibrio owensii	Vibrio	Vibrionaceae
GCF_002355135.1_ASM235513v1_genomic.fna.gz	1457031	NA	Blattabacterium cuenoti	Blattabacterium	Blattabacteriaceae
GCF_002954205.1_ASM295420v1_genomic.fna.gz	2371	NA	Xylella fastidiosa	Xylella	Xanthomonadaceae
GCF_000253015.1_ASM25301v1_genomic.fna.gz	696125	NA	Bartonella clarridgeiae	Bartonella	Bartonellaceae
GCF_003047065.1_ASM304706v1_genomic.fna.gz	1579	NA	Lactobacillus acidophilus	Lactobacillus	Lactobacillaceae
GCF_000188955.2_ASM18895v5_genomic.fna.gz	859199	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_001534785.1_ASM153478v1_genomic.fna.gz	483913	NA	Bacillus subtilis	Bacillus	Bacillaceae
GCF_000010165.1_ASM1016v1_genomic.fna.gz	358681	NA	Brevibacillus brevis	Brevibacillus	Paenibacillaceae
GCF_002838585.1_ASM283858v1_genomic.fna.gz	1685	NA	Bifidobacterium breve	Bifidobacterium	Bifidobacteriaceae
GCF_001183805.1_ASM118380v1_genomic.fna.gz	813	NA	Chlamydia trachomatis	Chlamydia	Chlamydiaceae
GCF_000224575.1_ASM22457v1_genomic.fna.gz	1055530	NA	Helicobacter pylori	Helicobacter	Helicobacteraceae
GCF_001506225.1_ASM150622v1_genomic.fna.gz	197	NA	Campylobacter jejuni	Campylobacter	Campylobacteraceae
GCF_000015665.1_ASM1566v1_genomic.fna.gz	167542	NA	Prochlorococcus marinus	Prochlorococcus	Prochloraceae
GCF_000026065.1_ASM2606v1_genomic.fna.gz	314315	Lactobacillus sakei subsp. sakei	Lactobacillus sakei	Lactobacillus	Lactobacillaceae
GCF_001077965.2_ASM107796v2_genomic.fna.gz	470	NA	Acinetobacter baumannii	Acinetobacter	Moraxellaceae
GCF_002587065.1_ASM258706v1_genomic.fna.gz	2033032	NA	Aeromonas sp. CA23	Aeromonas	Aeromonadaceae
GCF_000364805.1_ASM36480v1_genomic.fna.gz	1265601	NA	Streptomyces sp. PAMC 26508	Streptomyces	Streptomycetaceae
GCF_000217795.1_ASM21779v1_genomic.fna.gz	667014	NA	Thermodesulfatator indicus	Thermodesulfatator	Thermodesulfobacteriaceae
GCF_001263815.1_ASM126381v1_genomic.fna.gz	837	NA	Porphyromonas gingivalis	Porphyromonas	Porphyromonadaceae
GCF_000931425.1_ASM93142v1_genomic.fna.gz	1590	NA	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae
GCF_001936295.1_ASM193629v1_genomic.fna.gz	1674146	NA	Borrelia mayonii	Borreliella	Borreliaceae
GCF_001990145.1_ASM199014v1_genomic.fna.gz	1590	NA	Lactobacillus plantarum	Lactobacillus	Lactobacillaceae
GCF_001515705.1_ASM151570v1_genomic.fna.gz	46170	NA	Staphylococcus aureus	Staphylococcus	Staphylococcaceae
GCF_000148855.1_ASM14885v1_genomic.fna.gz	765962	NA	Helicobacter pylori	Helicobacter	Helicobacteraceae
GCF_001908595.1_ASM190859v1_genomic.fna.gz	573	NA	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae
GCF_001956985.1_ASM195698v1_genomic.fna.gz	1387353	NA	Paludisphaera borealis	Paludisphaera	Isosphaeraceae
GCF_001448485.2_ASM144848v2_genomic.fna.gz	1242102	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_002804125.1_ASM280412v1_genomic.fna.gz	2149	NA	Mesoplasma entomophilum	Mesoplasma	Entomoplasmataceae
GCF_000454025.1_ASM45402v1_genomic.fna.gz	1221524	NA	Amycolatopsis mediterranei	Amycolatopsis	Pseudonocardiaceae
GCF_000204625.1_ASM20462v1_genomic.fna.gz	1007064	NA	Streptococcus suis	Streptococcus	Streptococcaceae
GCF_001314285.1_ASM131428v1_genomic.fna.gz	197	NA	Campylobacter jejuni	Campylobacter	Campylobacteraceae
GCF_002284875.1_ASM228487v1_genomic.fna.gz	1848756	NA	Actinobacteria bacterium IMCC26103	Campylobacter	Campylobacteraceae
GCF_000283635.1_ASM28363v1_genomic.fna.gz	1116231	NA	Streptococcus macedonicus	Streptococcus	Streptococcaceae
GCF_002128165.1_ASM212816v1_genomic.fna.gz	2104	NA	Mycoplasma pneumoniae	Mycoplasma	Mycoplasmataceae
GCF_002357295.1_ASM235729v1_genomic.fna.gz	35790	NA	Rickettsia japonica	Rickettsia	Rickettsiaceae
GCF_001543325.1_ASM154332v1_genomic.fna.gz	1622118	NA	Lutibacter profundi	Lutibacter	Flavobacteriaceae
GCF_002803825.1_ASM280382v1_genomic.fna.gz	1307	NA	Streptococcus suis	Streptococcus	Streptococcaceae
GCF_002706565.1_ASM270656v1_genomic.fna.gz	33941	NA	Geobacillus thermoleovorans	Geobacillus	Bacillaceae
GCF_002947035.1_ASM294703v1_genomic.fna.gz	545	NA	Citrobacter koseri	Citrobacter	Enterobacteriaceae
GCF_001447095.1_ASM144709v1_genomic.fna.gz	58712	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_000277265.1_ASM27726v1_genomic.fna.gz	1105099	NA	Rickettsia prowazekii	Rickettsia	Rickettsiaceae
GCF_002948105.1_ASM294810v1_genomic.fna.gz	2083052	NA	Pseudomonas sp. SWI36	Pseudomonas	Pseudomonadaceae
GCF_001855335.1_ASM185533v1_genomic.fna.gz	1748	NA	Acidipropionibacterium acidipropionici	Acidipropionibacterium	Propionibacteriaceae
GCF_001971725.1_ASM197172v1_genomic.fna.gz	1936080	NA	Winogradskyella sp. J14-2	Winogradskyella	Flavobacteriaceae
GCF_000623395.2_ASM62339v2_genomic.fna.gz	1412486	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella	Enterobacteriaceae
GCF_001516385.1_ASM151638v1_genomic.fna.gz	287	NA	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae
GCF_000018125.1_ASM1812v1_genomic.fna.gz	471876	NA	Streptococcus pyogenes	Streptococcus	Streptococcaceae
GCF_900175995.1_ASM90017599v1_genomic.fna.gz	290633	NA	Gluconobacter oxydans	Gluconobacter	Acetobacteraceae
GCF_000092545.1_ASM9254v1_genomic.fna.gz	400673	NA	Legionella pneumophila	Legionella	Legionellaceae
GCF_000512125.1_ASM51212v1_genomic.fna.gz	1440052	NA	Escherichia albertii	Escherichia	Enterobacteriaceae
GCF_000317475.1_ASM31747v1_genomic.fna.gz	179408	NA	Oscillatoria nigro-viridis	Oscillatoria	Oscillatoriaceae
GCF_002903105.1_ASM290310v1_genomic.fna.gz	562	NA	Escherichia coli	Escherichia	Enterobacteriaceae
GCF_000236705.1_ASM23670v1_genomic.fna.gz	926562	NA	Owenweeksia hongkongensis	Owenweeksia	Cryomorphaceae
GCF_002586745.1_ASM258674v1_genomic.fna.gz	2033033	NA	Aeromonas sp. CU5	Aeromonas	Aeromonadaceae
GCF_000069965.1_ASM6996v1_genomic.fna.gz	529507	NA	Proteus mirabilis	Proteus	Morganellaceae
GCF_000347615.1_ASM34761v1_genomic.fna.gz	1312904	Legionella pneumophila subsp. pneumophila	Legionella pneumophila	Legionella	Legionellaceae
GCF_000021865.1_ASM2186v1_genomic.fna.gz	272942	NA	Rhodobacter capsulatus	Rhodobacter	Rhodobacteraceae
GCF_002224585.1_ASM222458v1_genomic.fna.gz	553	NA	Pantoea ananatis	Pantoea	Erwiniaceae
GCF_900236465.1_Bru_genome45_genomic.fna.gz	29459	NA	Brucella melitensis	Brucella	Brucellaceae
GCF_003032075.1_ASM303207v1_genomic.fna.gz	1639	NA	Listeria monocytogenes	Listeria	Listeriaceae
GCF_001509405.1_ASM150940v1_genomic.fna.gz	2041	NA	Aeromicrobium erythreum	Aeromicrobium	Nocardioidaceae
